,username,before_percolation,after_percolation,degree,change
1364,MayorOfMKE,0.0,0.0,0,no change
1021,ketchmeifucan,0.0,0.0,0,no change
970,alejols,0.0,0.0,0,no change
1380,GeoEpidemiology,0.0,0.0,0,no change
1002,tesla_kislo,0.0,0.0,0,no change
1377,CaribbeanUN,0.0,0.0,0,no change
1378,newyorkoffroad,0.0,0.0,0,no change
985,wEGwwJLrWCxjylA,0.0,0.0,0,no change
1376,antonioguterres,0.0,0.0,0,no change
987,twellness,0.0,0.0,0,no change
981,Herxselflove,0.0,0.0,0,no change
988,yonny_s,0.0,0.0,0,no change
1375,NUFrance,0.0,0.0,0,no change
980,JLDempere,0.0,0.0,0,no change
990,tufkaa,0.0,0.0,0,no change
979,MadiV4,0.0,0.0,0,no change
992,DevastationIncp,0.0,0.0,0,no change
969,murp_annie612,0.0,0.0,0,no change
1379,AmateurMatiz,0.0,0.0,0,no change
1373,K_JeanPierre,0.0,0.0,0,no change
994,ChicoSexProf,0.0,0.0,0,no change
996,Dabearkinglh,0.0,0.0,0,no change
977,authetnic,0.0,0.0,0,no change
976,NWRailways,0.0,0.0,0,no change
997,lostvegas911,0.0,0.0,0,no change
1372,dividejen,0.0,0.0,0,no change
999,LeitoVr,0.0,0.0,0,no change
1000,healLGBTea,0.0,0.0,0,no change
1001,benryanwriter,0.0,0.0,0,no change
1200,mayagoldman_,0.0,0.0,0,no change
949,AndresP00797770,0.0,0.0,0,no change
1385,PatentMasks,0.0,0.0,0,no change
915,CerTestBiotec,0.0,0.0,0,no change
887,northern_flickr,0.0,0.0,0,no change
891,corgi_lover,0.0,0.0,0,no change
